athlete,time_sec,first_400,second_400
"Baylor FRANKLIN
Ole Miss [SR]",108.96,53.72,55.24
"Aman THORNTON
Clemson [JR]",109.13,52.31,56.82
"Dugion BLACKMAN
Hampton [SO]",109.27,52.82,56.45
"Beck WITTSTADT
Duke [SO]",109.74,54.01,55.73
"Victor NDIWA
Clemson [FR]",110.46,53.03,57.43
"Kenton BACHMANN
Virginia [SR]",111.46,53.12,58.34
"Dillon ARYEH
Wake Forest [SR]",113,53.34,59.66
"Justin O'TOOLE
Columbia [JR]",116.72,53.50,63.22
"Handal ROBAN
Penn State [FR]",108.99,54.77,54.22
"Camden MARSHALL
Indiana [SO]",109.21,54.23,54.98
"Alex KENISH
Ohio State [SO]",109.39,54.98,54.41
"Darius SMALLWOOD
Penn State [SO]",109.79,54.33,55.46
"Clayborn PENDER
Georgia [SR]",109.82,54.50,55.32
"Luke GRINER
Army West Point [JR]",109.93,54.42,55.51
"Oskars BAMBALS
Miami (Fla.) [JR]",110.41,54.63,55.78
"Brett ARMBRUSTER
Marshall [JR]",112.76,55.16,57.6
"Navasky ANDERSON
Miss State [SR]",109.34,54.42,54.92
"Will SUMNER
Georgia [FR]",109.35,54.94,54.41
"Rynard SWANEPOEL
Wake Forest [SO]",109.87,54.44,55.43
"Micah HARRIS
George Mason [JR]",110.53,54.82,55.71
"Gianni HENRY
Albany [FR]",110.86,54.69,56.17
"Javon-Taye WILLIAMS
SE Louisiana [SO]",111.67,54.82,56.85
"Carter FITZGERALD
Penn State [FR]",111.88,55.04,56.84
"Alexander RIZZO
Navy [SR]",115.15,54.24,60.91
"Nicholas PLANT
Virginia Tech [FR]",109.63,53.87,55.76
"Yukichi ISHII
Penn State [SO]",109.74,54.02,55.72
"Joe HOOTS
Tennessee [SR]",109.83,53.87,55.96
"Louis O'LOUGHLIN
Auburn [SO]",109.97,54.06,55.91
"Ayman ZAHAFI
Miami (Fla.) [SR]",110.08,54.17,55.91
"Callum DODDS
Penn State [JR]",110.61,53.70,56.91
"Cole JOHNSON
Michigan [SR]",110.67,54.28,56.39
"Sam AUSTIN
Florida [SO]",111.08,53.67,57.41
"Tarees RHODEN
Clemson [JR]",108,52.12,55.88
"Ahmed KADRI
Eastern Kentucky [SO]",108.15,52.78,55.37
"Sean DOLAN
Villanova [JR]",108.34,52.34,56
"Ben NAGEL
Virginia Tech [SR]",108.38,52.59,55.79
"Olivier DESMEULES
Penn State [JR]",108.45,52.62,55.83
"Jack BALICK
Pittsburgh [JR]",109.84,52.96,56.88
"Justin SWANN
Kentucky [JR]",109.98,52.58,57.4
