athlete,time_sec,first_400,second_400
Roisin WILLIS,124.42,61.21,63.21
Ella NELSON,124.77,61.76,63.01
Jessica RABIUS,124.77,61.45,63.32
Taylor JAMES,124.98,61.40,63.58
Jasmin MUHAMMAD-GRAHAM,126.67,61.59,65.08
Lainey QUANDT,128.37,61.80,66.57
Tracy TOWNS,128.57,63.29,65.28
Mattalyn GEDDES,130.34,63.62,66.72
Gabija GALVYDYTE,125.41,63.56,61.85
Rose PITTMAN,126.04,63.98,62.06
Cheyenne MELVIN,126.61,63.22,63.39
Elena WILLEMS,126.68,63.53,63.15
Josefine ERIKSEN,127.21,63.74,63.47
Ellie DELIGIANNI,127.68,63.80,63.88
Penelopea GORDON,129.32,64.00,65.32
Alyssa BREWER,132.16,63.36,68.80
Valery TOBIAS,125.79,63.65,62.14
Meghan HUNTER,125.81,63.87,61.94
Makayla CLARK,126.40,63.94,62.46
Kelsey SCHWEIZER,126.89,64.16,62.73
Halyn SENEGAL,126.92,63.46,63.46
Alyssa BALANDRAN,127.70,63.79,63.91
Ava GILLIANA,128.68,64.12,64.56
Fanny ARENDT,129.84,63.77,66.07
MaLeigha MENEGATTI,124.84,58.95,65.89
Alli BOOKIN-NOSBISCH,126.44,59.66,66.78
Alex LOMELI,127.16,59.96,67.20
Danielle BELLINO,127.55,60.32,67.23
Rachel HICKEY,127.60,60.12,67.48
Madi SURBER,128.18,60.29,67.89
Grace BOOKIN-NOSBISCH,129.42,59.91,69.51
Gigi MACCAGNINI,130.63,59.71,70.92
Mehdi YANOURI,107.80,53.97,53.83
Jacob RODIN,108.37,53.77,54.6
Jonathan JONES,109.07,53.64,55.43
Hannes FAHL,109.10,54.39,54.71
Sam EASLEY,109.74,54.33,55.41
Anass MGHARI,110.76,54.62,56.14
Cebastian GENTIL,111.91,54.14,57.77
Ethan BROUW,114.21,54.19,60.02
Crayton CARROZZA,108.57,55.03,53.54
Jason GOMEZ,108.65,55.07,53.58
A J GREEN,108.68,54.85,53.83
Lloyd FRILOT,108.73,54.73,54
Alex SCALES,109.45,55.71,53.74
Niko SCHULTZ,110.00,55.15,54.85
Chase KNOCHE,110.00,55.36,54.64
Justice DICK,110.28,55.23,55.05
Aidan MCCARTHY,107.99,54.15,53.84
Sam ELLIS,108.39,53.89,54.5
Bobby POYNTER,108.63,53.99,54.64
Riley WELLS,108.98,54.36,54.62
Camron HERRON,109.84,54.29,55.55
Jesse MIDDENDORF,110.50,54.1,56.4
Alec NELSON,110.93,54.51,56.42
Ryan SCHREINER,111.51,54.28,57.23
Yusuf BIZIMANA,109.39,53.34,56.05
Darius KIPYEGO,109.65,53.23,56.42
Peter SMITH,109.96,53.61,56.35
Spencer GUDGEL,110.81,53.45,57.36
Adam MASON,110.82,53.04,57.78
Tommy WARD,111.99,53.72,58.27
Richard BROWN,113.01,52.99,60.02
Drake HANSON,121.37,53.9,67.47
Abdullahi HASSAN,109.50,55.25,54.25
Kash POWELL,109.77,55.32,54.45
Hafez MAHADI,109.85,55.66,54.19
Leroy RUSSELL III,110.22,55.51,54.71
Tom BREUCKMAN,111.24,55.76,55.48
Tyler OLSON,112.30,55.81,56.49
Ricardo BANKS,118.25,55.57,62.68
Sebastian FERNANDEZ,119.95,55.69,64.26
Matthew ERICKSON,107.14,53.31,53.83
Sam WHITMARSH,107.27,52.9,54.37
Lorenz HERRMANN,107.58,53.38,54.2
Christopher CONRAD,108.21,53.09,55.12
Marco VILCA,108.35,53.14,55.21
TJ ROBINSON,109.32,53.29,56.03
Caden NORRIS,109.34,52.83,56.51
Mohammed MOHAMED,110.52,53.61,56.91
Claire SEYMOUR,125.39,59.72,65.67
Sanu JALLOW,125.86,59.86,66.00
Mia MOERCK,126.25,62.10,64.15
Janiah BROWN,126.29,60.04,66.25
Kelly MOODRY,127.22,59.98,67.24
Kaylie POLITZA,128.81,60.33,68.48
Taigen HUNTER-GALVAN,129.47,60.21,69.26
Regina MPIGACHAI,129.87,60.10,69.77
Carley THOMAS,124.88,61.34,63.54
Brooke JAWORSKI,125.61,61.17,64.44
Ryley FICK,126.71,61.80,64.91
Alisa LYESINA,126.89,61.43,65.46
Clare PITCHER,127.36,61.62,65.74
Anna TOVKACH,127.65,61.55,66.10
Marlena PREIGH,128.41,62.02,66.39
Michaela LEWIS,129.10,61.83,67.27
