1	#	1329	Abdullahi	Hassan	20	"Scarborough,"	ON	1:51.91F	3			
	26.891	-26.891	56.181	-29.291	01:24.4	-28.224	01:51.9	-27.503				
	2	#	2335	Luis	Peralta	19	"Garfield,"	NJ	1:52.30F	3		
	26.311	-26.311	56.087	-29.777	01:24.8	-28.663	01:52.3	-27.545				
	3	#	775	Malcolm	Going	19	"Danbury,"	CT	1:52.63F	3		
	26.784	-26.784	56.281	-29.497	01:25.0	-28.74	01:52.6	-27.604				
	4	#	3027	Darius	Kipyego	21	"Warwick,"	RI	1:53.43F	2		
	28.24	-28.24	56.102	-27.862	01:24.7	-28.611	01:53.4	-28.712				
	5	#	2454	Conor	Murphy	20	"Providence,"	RI	1:53.46F	2		
	27.218	-27.218	56.211	-28.993	01:25.6	-29.415	01:53.5	-27.826				
	6	#	2984	Alfred	Chawonza	19	"Newark,"	NJ	1:53.50F	3		
	26.458	-26.458	56.024	-29.567	01:24.6	-28.557	01:53.5	-28.911				
	7	#	3639	Theo	Woods	19	"Lynchburg,"	VA	1:53.53F	3		
	27.014	-27.014	56.781	-29.767	01:25.4	-28.631	01:53.5	-28.119				
	8	#	435	Alex	Rizzo	19	"Bronxville,"	NY	1:53.91F	2		
	28.084	-28.084	56.358	-28.275	01:24.9	-28.543	01:53.9	-29.007				
	9	#	594	Joab	Francois	19	Altamonte	"Springs,"	1:54.11F	3		
	26.561	-26.561	56.24	-29.68	01:24.9	-28.704	01:54.1	-29.159				
	10	#	3288	Elijah	Brown	20	West	"Orange,"	NJ	1:54.15F	2	
	27.755	-27.755	56.903	-29.148	01:26.3	-29.406	01:54.2	-27.842				
	11	#	599	Liam	Rivard	19	"Toronto,"	ON	1:54.26F	2		
	28.072	-28.072	56.528	-28.457	01:25.2	-28.7	01:54.3	-29.024				
	12	#	2916	Miles	Liggins	19	"Dayton,"	NJ	1:54.30F	1	01:54.3	
	27.06	-27.06	56.382	-29.322	01:25.9	-29.498	01:54.3	-28.415				
	13	#	1252	Miller	Anderson	19	West	"Hartford,"	CT	1:54.30F	3	01:54.3
	26.711	-26.711	56.165	-29.455	01:24.7	-28.561	01:54.3	-29.57				
	14	#	1955	Gabriel	Moronta	20	"Pleasantville,"	NJ	1:54.44F	1		
	27.313	-27.313	56.717	-29.404	01:26.1	-29.351	01:54.4	-28.366				
	15	#	1226	Noah	Tindale	19	"Altamont,"	NY	1:54.76F	1		
	27.692	-27.692	56.766	-29.074	01:26.4	-29.677	01:54.8	-28.311				
	16	#	2991	Lewis	Ngwenya	19	"Newark,"	NJ	1:55.29F	1		
	27.247	-27.247	56.62	-29.373	01:26.0	-29.335	01:55.3	-29.33				
	17	#	2983	Jackson	Burnett	19	"Newark,"	NJ	01:55.8	2		
	28.741	-28.741	57.1	-28.36	01:26.0	-28.86	01:55.8	-29.857				
	18	#	2846	Thomas	Shilgalis	19	"Naperville,"	IL	01:56.0	2		
	28.221	-28.221	55.882	-27.661	01:25.1	-29.186	01:56.0	-30.92				
	19	#	44	Mark	Alkins	20	"Durham,"	NC	01:56.7	1		
	27.208	-27.208	56.817	-29.609	01:26.9	-30.037	01:56.7	-29.83				
	20	#	632	Ethan	Mills	19	"Christiansburg,"	VA	01:56.7	1		
	27.953	-27.953	57.148	-29.195	01:26.5	-29.329	01:56.7	-30.274				
	21	#	1661	Elias	Konow	20	"Carmel,"	IN	01:57.0	1		
	27.414	-27.414	57.103	-29.69	01:27.2	-30.076	01:57.0	-29.828				
	22	#	2425	Parker	Raymond	19	"Washington,"	MI	01:57.3	1		
	26.869	-26.869	56.12	-29.251	01:26.0	-29.894	01:57.3	-31.279				
	23	#	1293	Miguel	Parrilla	19	"Knoxville,"	TN	02:01.3	2		
	28.341	-28.341	56.838	-28.498	01:27.1	-30.229	02:01.3	-34.25				
	24	#	1689	Alex	Larochelle	19	"Sherbrooke,"	QC	02:03.8	1		
	28.008	-28.008	57.547	-29.539	01:29.3	-31.798	02:03.8	-34.474				
