1,#,3056,Roisin,Willis,22,Stevens,"Point,",WI,2:05.70F,4
29.096,-29.096,01:00.5,-31.418,01:33.9,-33.401,02:05.7,-31.785,,,
02:06.4,-0.729,,,,,,,,,
2,#,3252,Athing,Mu,20,"Trenton,",NJ,2:05.86F,4,
28.541,-28.541,59.505,-30.964,01:32.1,-32.637,02:05.9,-33.71,,,
02:06.7,-0.89,,,,,,,,,
3,#,1167,Bailey,Goggans,21,"Meadowlakes,",TX,2:06.10F,4,
29.337,-29.337,01:01.1,-31.749,01:34.2,-33.073,02:06.1,-31.94,,,
02:06.8,-0.746,,,,,,,,,
4,#,3361,Michaela,Rose,21,"Suffolk,",VA,02:06.9,3,
28.992,-28.992,59.831,-30.84,01:31.7,-31.846,02:06.9,-35.246,,,
5,#,3339,Victoria,Vanriele,20,Berkeley,"Heights,",N,02:07.2,4
30.237,-30.237,01:01.9,-31.656,01:34.7,-32.809,02:07.2,-32.539,,,
02:08.2,-0.947,,,,,,,,,
6,#,1411,Maggie,Hock,19,"Avon,",CT,02:07.7,4,
30.764,-30.764,01:01.8,-31.069,01:34.9,-33.111,02:07.7,-32.731,,,
02:08.7,-1.069,,,,,,,,,
7,#,3157,Aleeya,Hutchins,19,"Ajax,",ON,02:08.5,4,
30.095,-30.095,01:01.7,-31.626,01:34.9,-33.205,02:08.5,-33.593,,,
02:10.1,-1.58,,,,,,,,,
8,#,2080,KamiJoi,Hickson,20,"Philadelphia,",PA,02:08.6,3,
29.527,-29.527,01:02.2,-32.662,01:35.8,-33.618,02:08.6,-32.77,,,
9,#,3687,Sarah,Trainor,20,Hyde,"Park,",NY,02:08.6,3
29.984,-29.984,01:01.8,-31.804,01:35.3,-33.462,02:08.6,-33.345,,,
10,#,3146,Makayla,Paige,20,"Tewksbury,",MA,02:09.0,3,
29.54,-29.54,01:00.6,-31.078,01:34.5,-33.924,02:09.0,-34.429,,,
11,#,1653,Lily,Flynn,19,New,"Rochelle,",NY,02:09.1,4
30.446,-30.446,01:02.0,-31.588,01:35.4,-33.41,02:09.1,-33.654,,,
02:10.6,-1.551,,,,,,,,,
12,#,3163,Cassandra,William,20,"Ajax,",ON,02:10.6,3,
31.203,-31.203,01:03.1,-31.889,01:37.1,-33.995,02:10.6,-33.5,,,
13,#,2402,Nikki,Merrill,19,"Portsmouth,",RI,02:11.0,3,
30.96,-30.96,01:02.9,-31.986,01:36.5,-33.588,02:11.0,-34.444,,,
14,#,3383,DeAnna,Martin,19,Valley,"Stream,",NY,02:11.6,1
31.12,-31.12,01:03.7,-32.55,01:37.4,-33.698,02:11.6,-34.235,,,
15,#,3199,Carina,Napoleon,21,"worthington,",OH,02:11.9,3,
31.346,-31.346,01:03.5,-32.19,01:37.4,-33.9,02:11.9,-34.429,,,
16,#,1104,Micah,Trusty,22,"Philadelphia,",PA,02:11.9,3,
29.801,-29.801,01:01.6,-31.831,01:36.2,-34.541,02:11.9,-35.715,,,
17,#,3033,Elizabeth,Stanhop,19,"Indianapolis,",IN,02:12.1,1,
31.203,-31.203,01:04.2,-33.044,01:38.1,-33.807,02:12.1,-34.045,,,
18,#,3200,Gia,Napoleon,19,"worthington,",OH,02:12.4,4,
30.325,-30.325,01:02.2,-31.902,01:36.2,-33.97,02:12.4,-36.162,,,
02:13.3,-0.929,,,,,,,,,
19,#,1842,Maddie,Ullom,20,"Mason,",OH,02:12.4,3,
31.609,-31.609,01:04.0,-32.399,01:38.5,-34.535,02:12.4,-33.895,,,
20,#,68,Malia,Anderson,19,"Greensburg,",PA,02:12.6,2,
31.571,-31.571,01:05.2,-33.653,01:39.7,-34.46,02:12.6,-32.891,,,
21,#,345,Oliva,Boone,19,"Pulaski,",VA,02:12.9,1,
29.277,-29.277,01:01.4,-32.077,01:35.5,-34.13,02:12.9,-37.45,,,
22,#,3233,Charlotte,Tomkins,20,San,"Carlos,",CA,02:13.0,2
31.143,-31.143,01:04.6,-33.47,01:39.5,-34.854,02:13.0,-33.56,,,
23,#,1220,Maxana,Grubb,20,"Snyder,",NY,02:13.2,2,
31.75,-31.75,01:05.7,-33.947,01:39.4,-33.69,02:13.2,-33.817,,,
24,#,1525,Sierra,Dinneen,20,Staten,"Island,",NY,02:13.5,1
32.292,-32.292,01:05.6,-33.337,01:39.4,-33.813,02:13.5,-34.039,,,
25,#,3089,Marne,Sullivan,19,"Wilmette,",IL,02:14.1,2,
31.252,-31.252,01:04.8,-33.562,01:39.8,-34.976,02:14.1,-34.338,,,
26,#,1287,Ellie,Bachmann,20,"Knoxville,",TN,02:14.4,2,
31.373,-31.373,01:05.3,-33.926,01:39.8,-34.471,02:14.4,-34.65,,,
27,#,2420,Taryn,Chapko,20,Saint,"Johns,",MI,02:14.7,2
31.476,-31.476,01:05.5,-33.987,01:40.3,-34.841,02:14.7,-34.37,,,
28,#,3640,Anna,Burnett,19,"Woodstock,",GA,02:15.5,2,
31.799,-31.799,01:05.7,-33.871,01:40.5,-34.81,02:15.5,-35.003,,,
29,#,1564,Ashley,Johnson,20,Rancho,Santa,Margar,02:15.9,1
