athlete,first_400,second_400,total_time,split_ratio
"Willis,Roisin",63.22,63.59,126.81,1.005709857
"Gorriaran,Sophia",63.5,64.18,127.68,1.010613672
"Politza,Kaylie",63.93,64.92,128.85,1.015454645
"Ince,Ali",64.08,65.02,129.09,1.014685686
"Monesmith,Morgan",64.31,64.93,129.24,1.009640503
"Farley,Gretchen",64.39,65.12,129.51,1.011243284
"Grissom,Gabriell",64.21,66.21,130.43,1.031146341
"DeLisi,Allison",63.67,68.55,132.22,1.076564267
"Napoleon,Angelin",65.14,68.2,133.35,1.047005004
"Kezal,Mia-Claire",63.82,69.56,133.37,1.089930425
"Vidolova,Victori",64.41,69.02,133.43,1.071428571
"Kennedy,Samira",64.01,69.47,133.49,1.085262599
"Coyne,Sarah",64.87,68.96,133.83,1.063032788
"Berry,Jenai",65.41,68.69,134.1,1.050144471
"Culpepper,Macken",64.19,70.12,134.31,1.092335255
"Clare,Rory",63.73,71.29,135.02,1.118775991
"Condron,Sofia",67.97,67.17,135.14,0.988127814
"Vickers,Delaney",66.22,69.16,135.38,1.044474984
"Maughan,Amelia",67.36,68.07,135.42,1.010570699
"Jordan,Camille",65.49,69.95,135.45,1.068130459
"Tolbert,Lauren",63.01,72.6,135.61,1.152337116
"Sinn,Sydnee",65.62,70.14,135.76,1.068803145
"Rivard,Lexy",65.79,70.06,135.84,1.064859853
"King,Kylee",64.44,71.49,135.93,1.109309291
"Humphries,Nicole",64.95,71.88,136.83,1.106712856
"Hliboki,Cara",66.87,70.04,136.91,1.04749656
"Felstow,Rachel",67.05,70.05,137.1,1.04468174
"Blackledge,McKen",64.38,72.91,137.29,1.132381722
"Cybak,Malena",65.15,72.48,137.63,1.112475442
"Klock,Vassianna",66.75,71.25,138,1.067447714
"Mrakovcic,Emily",67.94,70.15,138.09,1.032663575
"Atkinson,Jayla",65.96,72.15,138.11,1.093717785
"Zentz,Odessa",63.49,74.91,138.39,1.179932267
"Henkel,Lucy",66.14,72.36,138.5,1.093964501
"Mordvinova,Ana",68.47,70.04,138.51,1.022974236
"Doherty,Fiona",66.2,72.34,138.54,1.09276435
"Fonville,Linde",67.53,71.1,138.63,1.052911385
"Cooper,Kylie",67.72,71.72,139.44,1.059065001
"Podbelski,Shea",67.44,72.55,139.99,1.075910136
"Schramm,Kayla",67.24,77.24,144.48,1.148748531
