athlete,first_200,second_200,total_time_sec,split_ratio
Kameron Bethea,24.13,27.65,51.78,1.145876502
Braedon Gautier,24.79,28.09,52.88,1.133118193
Shahid Stevens,24.05,29.51,53.56,1.227027027
Jaylen Brundidge,26.57,27.4,53.97,1.031238239
Elijah Best,25.14,28.99,54.13,1.153142403
Aiden Opore,25.59,28.9,54.49,1.129347401
Alex Patterson,25.13,29.39,54.52,1.169518504
Aiyden Cousins,25.45,29.72,55.17,1.167779961
Joshua Akakpo,26.87,28.7,55.57,1.068105694
Samuel Johnson,25.97,29.66,55.63,1.142087023
Nathan Beckley,24.42,31.23,55.65,1.278869779
Noah Cotter,27.83,28.45,56.28,1.022278117
Linwood Nelson,26.67,29.77,56.44,1.116235471
Quintin Clemons,27.05,29.94,56.99,1.106839187
Ryan D'Errico,26.84,31.24,58.08,1.163934426
Ethan Ly,28.17,29.96,58.13,1.063542776
Jamir Cameron Crichlow,27.27,30.93,58.2,1.134213421
Bryson Anderson,27.6,30.68,58.28,1.111594203
Olusegun Baker,26.62,31.71,58.33,1.191209617
Patrick Cadogan,27.85,30.5,58.35,1.095152603
Rayyan Siddiq,28.27,30.22,58.49,1.068977715
Nathaniel Chukwu,27.43,31.13,58.56,1.134888808
Michael Welc,29.26,29.73,58.99,1.016062884
Jacob Watson,26.89,32.12,59.01,1.194496095
Caleb Hubbard,28.19,30.96,59.15,1.098261795
Carter Fleming,27.44,31.75,59.19,1.157069971
Anthony Colella,27.89,31.32,59.21,1.122983148
Michael Wootten,29.91,29.53,59.44,0.987295219
Javan Pelascini,28.39,31.06,59.45,1.0940472
Mason Chadwick,28.43,31.64,60.07,1.112908899
Jack Duvall,29.15,31.03,60.18,1.064493997
Eric Henriquez II,25.66,34.57,60.23,1.347233048
Chase Hoover,28.95,31.58,60.53,1.090846287
Iker Osorto,28.24,32.36,60.6,1.145892351
Brayden Hershberger,28.86,31.75,60.61,1.1001386
Adam Kramer,29.82,31.04,60.86,1.04091214
Cameer Deal,29.32,32.83,62.15,1.119713506
Jeremiah Shepherd,30.06,32.88,62.94,1.093812375
Adam Toleos,28.35,34.78,63.13,1.22680776
Donovan Davis,29.92,38.55,68.47,1.288435829
Olivia Harris,26.58,29.27,55.85,1.101203913
