athlete,first_400,second_400,total_time_sec,split_ratio
Parker Dewey,56.47,58.89,115.36,1.042854613
Brandon Latta,56.6,59.04,115.64,1.043109541
Isaac Greene,54.74,61.38,116.12,1.121300694
Soheib Dissa,54.39,62.19,116.58,1.143408715
Willem Mandel,54.57,62.17,116.74,1.139270662
Evan Smith,54.83,61.98,116.81,1.130403064
Simon Donovan,56.85,59.99,116.84,1.055233069
Gabriel Cuffey,54.85,62.07,116.92,1.131631723
Gabriel Sisk,56.39,60.54,116.93,1.073594609
Ethan Cope,56.75,60.62,117.37,1.068193833
Gavin Rossi,55.92,61.47,117.39,1.099248927
Ryan Hesler,56.23,61.36,117.59,1.091232438
Tyson Crandall,56.4,61.54,117.94,1.091134752
Gabriel Zwilling,57.6,60.34,117.94,1.047569444
Charlie Butler,56.77,61.39,118.16,1.081381011
Simeon Hayward,56.23,61.98,118.21,1.102258581
Antonio Ciccarelli,56.37,61.96,118.33,1.099166223
Andre Pearson,54.34,64.38,118.72,1.184762606
Matthew Carnes,57.82,61.18,119,1.05811138
Logan Mullan,56.13,62.88,119.01,1.120256547
Marco Bussone,57.39,61.8,119.19,1.076842656
Tyler Bartlett,57.75,61.62,119.37,1.067012987
Walt Petersen,58.27,61.11,119.38,1.048738631
Brendan Fant,55.91,63.52,119.43,1.136111608
Daniel Serpa,58.22,61.27,119.49,1.052387496
Ben Tucker,57.52,62.01,119.53,1.078059805
Caleb Doddington,57.11,62.43,119.54,1.093153563
Jack Stahl,58.37,61.18,119.55,1.048141168
Dennis Satchek,57.61,62.23,119.84,1.080194411
Max Langenbach,58.31,61.69,120,1.057966044
Blake Santos,56.99,63.04,120.03,1.106158975
Cole Thalheimer,58.57,61.67,120.24,1.05292812
Griffin Mandirola,58.13,62.25,120.38,1.070875624
Logan Tracia,58.07,62.33,120.4,1.073359738
Anderson Krasner,58.47,62.02,120.49,1.060714897
Connor Reidy,56.92,64.04,120.96,1.125087843
Christophe Fremont,58.26,62.71,120.97,1.076381737
Daniel da Silva,59.35,61.69,121.04,1.039427127
Sebastian Guerrero,58.92,62.69,121.61,1.063985064
Nicholas Montana,57.94,63.89,121.83,1.10269244
Isaac Perez,56.68,65.19,121.87,1.150141143
Samuel Secor,59.4,62.48,121.88,1.051851852
Kinnon Ringler,57.31,64.98,122.29,1.133833537
Nathan Mikulsky,57.49,65.4,122.89,1.137589146
Christopher Miller-Harris,58.89,64.28,123.17,1.091526575
David Pinero-Jacome,57.15,66.44,123.59,1.162554681
Garrett Dailey,59.33,64.52,123.85,1.087476825
Malachi Patterson,58.1,66.32,124.42,1.141480207
Ryan Thompson,58.53,66.1,124.63,1.129335384
Esaias Gonzalez,58.04,67.23,125.27,1.158339076
Ethan Downs,59.77,67.17,126.94,1.12380793
Jack Chapman,60.1,68.33,128.43,1.136938436
Faith Murphy,67.83,66.9,134.73,0.986289253
Madison Rassas,66.97,68.53,135.5,1.023294012
Alexandra Jackson,68.12,68.47,136.59,1.005137992
Elizabeth Szybalski,65.83,70.81,136.64,1.0756494
Cailey Freeze,67.74,68.97,136.71,1.018157662
Jimmiea King,68.16,68.55,136.71,1.005721831
Charlotte Dunkel,66.41,70.53,136.94,1.06203885
Riley Herdson,67.31,69.72,137.03,1.035804487
Jocelyn Millican,63.87,73.22,137.09,1.146391107
Tenley Nelson,67.33,69.92,137.25,1.038467251
Olivia Holbrook,65.88,71.38,137.26,1.083485124
Scarlet Stimson,67.12,70.36,137.48,1.048271752
Morgan Kirkland,66.29,71.81,138.1,1.083270478
Anna Hardiman,68.61,69.74,138.35,1.016469902
Charlotte Tuxbury,66.72,71.82,138.54,1.076438849
Kylee King,65.95,72.94,138.89,1.105989386
Grace Finnegan,66.68,72.23,138.91,1.083233353
Riley Humphries,66.39,72.73,139.12,1.09549631
Audrey Adam,67.8,71.36,139.16,1.052507375
Miah Johnson,67.84,71.67,139.51,1.056456368
Taylor Pangburn,68.76,70.99,139.75,1.032431646
Lila Pesavento,68.86,71.46,140.32,1.037757769
Keira Hodum,66.62,74.38,141,1.116481537
Lila Garbett,68.23,72.85,141.08,1.06771215
Caitlyn Chang,69.28,71.94,141.22,1.038394919
Mary Gorsky,67.85,73.56,141.41,1.084156227
