athlete,first_400,second_400,total_time_sec,split_ratio
lk boulware,79.22999999999999,87.64,166.87,1.1061466616180742
laney mcgahey,88.06,95.47,183.53,1.0841471723824665
sadie lyon,80.66,87.78,168.44,1.0882717579965286
baden sanderford,60.129999999999995,62.66,122.78999999999999,1.0420755030766673
colton thigpen,64.31,70.69,135.0,1.0992069662571917
ethan michael,70.9,68.5,139.4,0.9661495063469675
mary mac collins,68.69,74.83000000000001,143.52,1.0893871014703744
kennae hales,77.19,82.71000000000001,159.9,1.0715118538670814
sophie boxmeyer,85.8,87.91,173.70999999999998,1.0245920745920747
preston barnes,60.379999999999995,68.34,128.72,1.1318317323617093
baden sanderford,59.629999999999995,65.06,124.69,1.0910615462015765
margaret rockhold,86.81,102.72,189.53,1.1832738163806014
sadie lyon,78.19,86.05000000000001,164.24,1.1005243637293773
linley byars,83.69,92.06,175.75,1.100011948858884
laney mcgahey,85.72,97.25,182.97,1.134507699486701
mia livaudais,91.88,98.71000000000001,190.59,1.0743360905528951
baden sanderford,60.59,62.85,123.44,1.0372998844693844
john fuller,70.22,85.97,156.19,1.2242950726288806
colton thigpen,68.34,70.87,139.21,1.037020778460638
kennae hales,75.97,78.56,154.53,1.0340924048966698
dani blakley,80.16,90.22,170.38,1.125499001996008
lk boulware,82.36,83.65,166.01,1.0156629431762993
erin pernell,73.75,85.5,159.25,1.159322033898305
baden sanderford,61.07,64.34,125.41,1.0535451121663666
preston barnes,60.28,65.44,125.72,1.0856005308560053
anglin young,65.88,67.85,133.73,1.0299028536733454
colton thigpen,69.53,71.03,140.56,1.021573421544657
kennae hales,74.38,80.39,154.76999999999998,1.0808012906695348
dani blakley,80.81,89.59,170.4,1.1086499195644104
lk boulware,81.66,84.25,165.91,1.0317168748469263
baden sanderford,60.34,64.96,125.3,1.076566125290023
preston barnes,61.650000000000006,63.82,125.47,1.0351987023519869
shawn stephenson,60.2,63.71,123.91,1.0583056478405315
shawn stephenson,62.19,65.9,128.09,1.059655893230423
shawn stephenson,60.81,63.79,124.6,1.049005097845749
margaret rockhold,85.34,94.28,179.62,1.1047574408249354
kennedy richardson,83.6,93.13,176.73,1.1139952153110049
keaton becker,72.53,74.91,147.44,1.032814007996691
john fuller,97.03,115.53,212.56,1.190662681644852
hector aguirre,69.88,76.21000000000001,146.09,1.0905838580423586
alden white,78.44,85.03999999999999,163.48,1.0841407445181028
kennae hales,76.12,90.97,167.09,1.195086705202312
linley byars,80.2,90.97,171.17000000000002,1.13428927680798
sophie boxmeyer,85.25,87.38,172.63,1.0249853372434017
preston barnes,60.55,65.35,125.89999999999999,1.0792733278282411
dani blakley,79.44,93.99000000000001,173.43,1.1831570996978853
lk boulware,85.81,87.0,172.81,1.0138678475702132
mia livaudais,92.13,98.59,190.72,1.0701183110821666
laney mcgahey,89.69,96.81,186.5,1.0793845467722154
kennedy richardson,88.94,92.19,181.13,1.0365414886440296
margaret rockhold,88.94,92.15,181.09,1.036091747245334
colton thigpen,71.97,73.28,145.25,1.0182020286230373
alden white,84.0,89.14,173.14,1.0611904761904762
kennae hales,69.81,83.97,153.78,1.202836269875376
lillie gould,74.9,84.61,159.51,1.1296395193591455
lk boulware,74.6,89.81,164.41,1.203887399463807
dani blakley,80.24,92.4,172.64,1.1515453639082753
grace york,79.09,95.1,174.19,1.2024276141105068
laney mcgahey,80.9,95.47,176.37,1.180098887515451
mia livaudais,94.97,102.44,197.41,1.0786564178161524
sadie lyon,77.53,89.13,166.66,1.1496195021282083
colton thigpen,63.83,71.89,135.72,1.1262729124236253
ethan michael,71.94,71.99,143.93,1.0006950236308034
alden white,85.65,92.25,177.9,1.0770577933450087
keaton becker,74.75,75.47,150.22,1.0096321070234113
kennae hales,76.41,77.34,153.75,1.0121711817824892
grace york,86.53,90.17,176.7,1.0420663353750144
lillie gould,77.16,76.2,153.36,0.9875583203732504
laney mcgahey,86.78,91.1,177.88,1.0497810555427518
baden sanderford,59.38,60.25,119.63,1.0146513977770293
colton thigpen,71.59,77.62,149.21,1.0842296410113144
hector aguirre,70.94,75.8,146.74,1.0685085988159007
colton thigpen,66.85,71.69,138.54,1.0724008975317876
grace york,82.38,97.22,179.6,1.1801408108764264
laney mcgahey,81.33,95.22,176.55,1.1707856879380303
mia livaudais,97.78999999999999,102.83,200.62,1.0515390121689334
keaton becker,65.85,83.89,149.74,1.273955960516325
houston jones,72.07,83.72,155.79,1.1616483973914251
alden white,88.32,92.52000000000001,180.84,1.0475543478260871
laney mcgahey,82.88,93.75,176.63,1.131153474903475
mia livaudais,88.16,95.25,183.41,1.0804219600725953
preston barnes,60.31,65.83,126.14,1.0915271099320178
baden sanderford,58.97,61.34,120.31,1.0401899270815669
houston jones,72.09,80.03,152.12,1.110140102649466
margaret rockhold,90.34,95.82,186.16,1.0606597299092317
sadie lyon,77.25,86.56,163.81,1.1205177993527509
grace york,83.82,90.84,174.66,1.083750894774517
laney mcgahey,82.06,94.47,176.53,1.1512308067267851
dani blakley,84.75,102.81,187.56,1.2130973451327434
lk boulware,79.75,88.28,168.03,1.1069592476489027
mary mac collins,69.56,71.94,141.5,1.0342150661299596
lillie gould,73.5,79.63,153.13,1.0834013605442177
erin pernell,76.43,86.94,163.37,1.1375114483841422
kennae hales,72.25,84.19,156.44,1.1652595155709342
cj judge,70.41,80.72,151.13,1.1464280641954268
walker warren,72.65,77.0,149.65,1.0598761183757741
keaton becker,73.66,75.94,149.6,1.0309530274232963
lk boulware,83.34,88.68,172.02,1.0640748740100792
grace york,89.72,92.08,181.8,1.0263040570664288
kennedy richardson,150.0,32.36,182.36,0.21573333333333333
margaret rockhold,90.22,100.25,190.47,1.1111726889824873
mia livaudais,90.0,94.31,184.31,1.0478888888888889
colton thigpen,66.63,70.28,136.91,1.054780129070989
kennae hales,74.16,84.73,158.89,1.142529665587918
preston barnes,59.75,64.75,124.5,1.0836820083682008
mary mac collins,68.16,73.74,141.89999999999998,1.0818661971830985
kennae hales,76.5,78.1,154.6,1.0209150326797385
lillie gould,73.5,82.84,156.34,1.1270748299319728
lk boulware,76.47,85.28,161.75,1.1152085785275272
sadie lyon,78.91,87.47,166.38,1.1084780129261185
margaret rockhold,89.32,99.6,188.92,1.1150918047469771
preston barnes,58.84,67.72,126.56,1.150917743031951
baden sanderford,56.88,69.78,126.66,1.2267932489451476
anglin young,63.5,64.43,127.93,1.0146456692913386
colton thigpen,62.5,68.81,131.31,1.10096
keaton becker,67.16,76.26,143.42000000000002,1.135497319833234
johnny williams,66.67,73.28999999999999,139.95999999999998,1.0992950352482374
hector aguirre,70.37,78.6,148.97,1.116953247122353
walker warren,72.75,78.5,151.25,1.0790378006872852
houston jones,75.78,77.65,153.43,1.0246766956980735
peter vander wal,80.94,96.03,176.97,1.1864343958487769
sadie lyon,80.25,89.42,169.67000000000002,1.1142679127725856
preston barnes,63.66,65.3,128.95999999999998,1.0257618598806157
colton thigpen,65.11,70.23,135.34,1.0786361542005838
houston jones,72.74,79.12,151.86,1.0877096508111082
walker warren,71.56,83.27,154.82999999999998,1.1636389044158748
kennae hales,70.59,92.57,163.16,1.3113755489446095
lillie gould,74.31,81.28,155.59,1.0937962589153545
sadie lyon,74.57,89.42,163.99,1.19914174601046
sophie boxmeyer,87.92,87.97,175.89,1.0005686988171065
colton thigpen,64.71,70.78999999999999,135.5,1.0939576572399938
johnny williams,67.73,74.62,142.35000000000002,1.1017274472168905
hector aguirre,70.06,77.22,147.28,1.1021981159006566
margaret rockhold,90.94,102.82,193.76,1.1306355839014735
laney mcgahey,86.19,92.0,178.19,1.0674092122055923
grace york,90.0,102.34,192.34,1.1371111111111112
kennedy richardson,85.22,94.03,179.25,1.1033794883830088
kennae hales,75.2,85.38,160.57999999999998,1.1353723404255318
sophie boxmeyer,84.09,88.22,172.31,1.0491140444761564
mary mac collins,65.74,71.72,137.45999999999998,1.0909644052327352
sadie lyon,79.44,88.05,167.49,1.1083836858006042
preston barnes,59.84,63.09,122.93,1.054311497326203
baden sanderford,59.6,59.12,118.72,0.9919463087248321
anglin young,61.66,69.13,130.79,1.1211482322413233
hector aguirre,72.69,76.67,149.36,1.0547530609437337
alden white,87.13,95.03,182.16,1.090669115115345
colton thigpen,65.31,68.14,133.45,1.043331802174246
laney mcgahey,82.84,92.78999999999999,175.63,1.120111057460164
mia livaudais,85.9,96.25999999999999,182.16,1.1206053550640278
sophie boxmeyer,80.78,87.78,168.56,1.0866551126516464
kennedy richardson,80.78,87.14,167.92000000000002,1.0787323594949245
grace york,82.53,94.06,176.59,1.1397067732945596
lk boulware,80.72,85.13,165.85,1.054633300297324
sadie lyon,78.7,84.35,163.05,1.0717916137229986
margaret rockhold,82.63,94.31,176.94,1.1413530194844488
walker warren,73.5,80.32,153.82,1.0927891156462584
johnny williams,65.6,74.32,139.92,1.1329268292682926
colton thigpen,64.84,68.99,133.82999999999998,1.064003701418877
preston barnes,60.03,64.05,124.08,1.0669665167416291
baden sanderford,55.54,64.57,120.10999999999999,1.162585523946705
sadie lyon,78.31,88.13,166.44,1.1253990550376707
lk boulware,79.69,86.34,166.03,1.0834483624043167
kennedy richardson,86.81,94.19,181.0,1.085013247321737
sophie boxmeyer,84.34,88.47,172.81,1.048968460991226
colton thigpen,65.47,69.0,134.47,1.0539178249579961
johnny williams,65.63,72.59,138.22,1.1060490629285389
houston jones,68.82,77.62,146.44,1.1278698052891603
kennae hales,76.5,82.34,158.84,1.0763398692810457
lillie gould,72.41,80.13,152.54,1.1066151084104405
lk boulware,80.46000000000001,93.78999999999999,174.25,1.165672383793189
dani blakley,88.12,95.75,183.87,1.0865864729913755
